key,date,c_type,c_title,c_isn,c_isn_valid,c_publisher_std,c_publisher_major,c_apc_model,c_apc_value,c_apc_currency,c_indexing,e_type,e_date,t_update,t_regenerate,t_certainly,t_langmod,t_access,t_first_person,t_second_person,t_recent
a2023,2023-12-14,Conference,Intelligent Computing and Control for Engineering and Business Systems,9798350394580,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
aarati2024,2024-01,Journal,International Journal of Computer Networks and Wireless Communications,2250-3501,Confirmed,NA,0,Full,230,USD,NA,NA,NA,0,0,0,1,0,1,0,0
abbas2023,2023-06,Conference,International Conference on Pervasive Computing and Social Networking,9798350322842,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
abdullah2023,2023-07-11,Journal,Journal of Sustainable Technologies and Infrastructure Planning,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0
abdullah2024,2024-06-05,Journal,Pakistan Journal of Statistics and Operation Research,1816-2711,Confirmed,NA,0,None,NA,NA,Scopus; Web of Science,NA,NA,0,0,1,0,0,0,0,0
abdumominov2023,2023-06-06,Journal,International Bulletin of Engineering and Technology,2770-9124,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0
abdurazoqqizi2023,2023-06-24,Journal,Journal of New Century Innovations,2181-368X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
abubakar2023,2023-08-24,Journal,"Journal of Poverty, Investment and Development",2520-5196,Refers to different journal,NA,0,Full,150,USD,NA,NA,NA,0,0,1,0,0,0,0,0
acharya2023,2023-08-15,Journal,Researcher CAB,2392-4063,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
admojo2023,2023-10-03,Journal,Knowledge Engineering and Data Science,2597-4637,Confirmed,NA,0,Full,2000000,IDR,DOAJ,NA,NA,1,0,0,0,0,0,0,1
affum2023,2023-07,Journal,Library Philosophy and Practice,1522-0222,Confirmed,NA,0,Unknown,NA,NA,ProQuest,NA,NA,0,0,0,1,1,1,1,0
agalave2023,2023-10-30,Journal,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",2456-3307,Confirmed,NA,0,Full,45,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
aggarwal2023,2023-09,Journal,China Petroleum Processing and Petrochemical Technology,1008-6234,Confirmed,NA,0,Full,10000,THB,Scopus,NA,NA,1,0,0,0,0,1,0,0
aggarwal2023a,2023-11-23,Conference,International Conference on Recent Advances in Science and Engineering Technology,9798350306927,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
ahammad2023,2023-06,Journal,International Journal of English and Studies,2581-8333,Confirmed,NA,0,Full,200,USD,NA,NA,NA,0,0,1,0,0,0,0,0
ahmad2023,2023-05-30,Journal,Jurnal Ilmiah Wahana Pendidikan,2622-8327,Confirmed,NA,0,Full,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
ahmad2023a,2023-03-21,Journal,PalArch's Journal of Archaeology of Egypt,1567-214X,Confirmed,NA,0,Unknown,NA,NA,Scopus,NA,NA,0,0,1,0,0,0,0,0
ahmed2021,2021-06-01,Journal,International Journal of Modern Agriculture and Environment,2974-4407,Confirmed,NA,0,Full,NA,NA,Dimensions,NA,NA,1,0,0,1,1,1,1,1
akbar2024,2024-01-19,Journal,Migration Letters,1741-8992,Confirmed,NA,0,Full,800,USD,Scopus (discontinued); ProQuest,NA,NA,0,1,0,0,0,0,0,0
akhmedova2024,2024-02-16,Journal,Journal of Research and Innovation,2181-4058,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
akhter2023,2023-09-01,Journal,Natural Language Processing Journal,2949-7191,Confirmed,Elsevier,1,Full,1700,USD,DOAJ,Stealth revision,NA,0,1,0,0,0,0,0,0
akram2023,2023-08-26,Journal,Journal of Policy Research,2410-8162,Confirmed,NA,0,Full,200,USD,NA,NA,NA,1,0,0,0,0,1,0,0
al-otaibi2023,2023-01-20,Journal,Neuropsychopharmacologia Hungarica,1419-8711,Refers to different journal,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0
al-qahtani2023,2023-11-12,Journal,Environmental Technology,0959-3330,Confirmed,Taylor & Francis,1,Hybrid,3300,USD,Medline; Web of Science; Scopus,NA,NA,0,0,1,0,0,0,0,0
aleksandrovna2023,2023,Journal,E-Scio,2658-6924,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0
ali2023,2023-12-31,Journal,Pakistan Research Letter,3006-7960,Confirmed,NA,0,Full,20000,PKR,NA,NA,NA,1,0,0,0,0,1,0,1
ali2023a,2023-12-25,Journal,Journal of Arts & Social Sciences,2414-8512,Confirmed,NA,0,Full,10000,PKR,NA,NA,NA,1,0,0,0,0,1,0,0
ali2023b,2023-06-25,Journal,Tahdzib Al-Akhlaq,2721-2521,Confirmed,NA,0,Full,500000,IDR,NA,NA,NA,0,0,1,0,0,0,0,0
alisoy2023,2023-11-13,Journal,Norwegian Journal of Development of the International Science,3453-9875,Invalid,NA,0,Full,32,EUR,NA,NA,NA,0,0,1,0,0,0,0,0
almilaibary2024,2024-03,Journal,Saudi Journal of Biological Sciences,1319-562X,Confirmed,Elsevier,1,Full,1490,USD,Web of Science; DOAJ; Scopus; PubMed Central; Medline,NA,NA,1,0,0,0,0,1,0,1
almoteri2023,2023-03-15,Journal,Electronic Research Archive,2688-1594,Confirmed,NA,0,Full,1000,USD,DOAJ; Scopus; Web of Science; Dimensions,NA,NA,0,1,0,0,0,0,0,0
alsagri2024,2024-06-01,Journal,Process Safety and Environmental Protection,0957-5820,Confirmed,NA,0,Hybrid,3450,USD,Web of Science; Scopus,NA,NA,0,0,1,0,0,0,0,0
alsaif2024,2024-01-30,Journal,Optical and Quantum Electronics,1572-817X,Confirmed,Springer,1,Hybrid,3090,USD,Web of Science; Scopus; ProQuest; Dimensions,NA,NA,1,0,0,0,0,1,1,0
alsharabi2023,2023-11-12,Journal,Journal of Amran University,2790-4989,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
amadi2022,2022-04-12,Journal,International Journal of Transportation Engineering and Traffic System,2456-2343,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
ameen2023,2023,Journal,Russian Law Journal,2309-8678,Confirmed,NA,0,None,NA,NA,Scopus (discontinued); Web of Science,NA,NA,0,1,0,0,0,0,0,0
